data_set;fs_method;learner;ensemble_model_name;positive_class;feature_x_value;probability;novelty
development;mrmr;glm;ensemble.1.1;2;11.1236474598169;0.00111131285933195;0.513928995094973
development;mrmr;glm;ensemble.1.1;0;11.1684039435572;0.995873459333925;0.513165912201348
development;mrmr;glm;ensemble.1.1;1;11.1684039435572;0.00191074029662243;0.513165912201348
development;mrmr;glm;ensemble.1.1;2;11.1684039435572;0.00240224841179632;0.513165912201348
development;mrmr;glm;ensemble.1.1;0;11.220602526725;0.989820579867518;0.512026874160702
development;mrmr;glm;ensemble.1.1;1;11.220602526725;0.00503236132632011;0.512026874160702
development;mrmr;glm;ensemble.1.1;2;11.220602526725;0.00585919514005556;0.512026874160702
development;mrmr;glm;ensemble.1.1;0;11.282691168929;0.969108986263188;0.510963205989468
development;mrmr;glm;ensemble.1.1;1;11.282691168929;0.015700985074013;0.510963205989468
development;mrmr;glm;ensemble.1.1;2;11.282691168929;0.0167523728547358;0.510963205989468
development;mrmr;glm;ensemble.1.1;0;11.357117829778;0.888328284365968;0.51053976395316
development;mrmr;glm;ensemble.1.1;1;11.357117829778;0.056532989708805;0.51053976395316
development;mrmr;glm;ensemble.1.1;2;11.357117829778;0.0562107646540783;0.51053976395316
development;mrmr;glm;ensemble.1.1;0;11.4463304688806;0.613659850387631;0.5103928207854
development;mrmr;glm;ensemble.1.1;1;11.4463304688806;0.19818793666953;0.5103928207854
development;mrmr;glm;ensemble.1.1;2;11.4463304688806;0.183731421184752;0.5103928207854
development;mrmr;glm;ensemble.1.1;0;11.5527770458454;0.177345223701056;0.509657634577812
development;mrmr;glm;ensemble.1.1;1;11.5527770458454;0.429799558590028;0.509657634577812
development;mrmr;glm;ensemble.1.1;2;11.5527770458454;0.36477502829957;0.509657634577812
development;mrmr;glm;ensemble.1.1;0;11.6789055202811;0.0225436524701546;0.507523693470167
development;mrmr;glm;ensemble.1.1;1;11.6789055202811;0.535501444381945;0.507523693470167
development;mrmr;glm;ensemble.1.1;2;11.6789055202811;0.434540041708457;0.507523693470167
development;mrmr;glm;ensemble.1.1;0;11.8271638517964;0.00156888977019286;0.501831245369263
development;mrmr;glm;ensemble.1.1;1;11.8271638517964;0.575022580727706;0.501831245369263
development;mrmr;glm;ensemble.1.1;2;11.8271638517964;0.422475401751036;0.501831245369263
development;mrmr;glm;ensemble.1.1;0;12;7.07771461459022e-05;0.497485259117932
development;mrmr;glm;ensemble.1.1;1;12;0.612614782108024;0.497485259117932
development;mrmr;glm;ensemble.1.1;2;12;0.387201525361472;0.497485259117932
validation;mrmr;glm;ensemble.1.1;0;0;1;0.48938235758646
validation;mrmr;glm;ensemble.1.1;1;0;2.6721349393279e-119;0.48938235758646
validation;mrmr;glm;ensemble.1.1;2;0;5.12787280227438e-115;0.48938235758646
validation;mrmr;glm;ensemble.1.1;0;0.069397104947768;1;0.49942135270964
