data_set;fs_method;learner;ensemble_model_name;positive_class;feature_x_value;probability;novelty
development;mrmr;xgboost_tree;ensemble.1.1;1;4.97045023757108;0.0531825087964535;0.614658680015234
development;mrmr;xgboost_tree;ensemble.1.1;2;4.97045023757108;0.0485633164644241;0.614658680015234
development;mrmr;xgboost_tree;ensemble.1.1;0;5.89164237123421;0.898254185914993;0.575871913974429
development;mrmr;xgboost_tree;ensemble.1.1;1;5.89164237123421;0.0531825087964535;0.575871913974429
development;mrmr;xgboost_tree;ensemble.1.1;2;5.89164237123421;0.0485633164644241;0.575871913974429
development;mrmr;xgboost_tree;ensemble.1.1;0;6.76364864979728;0.898254185914993;0.574680977717699
development;mrmr;xgboost_tree;ensemble.1.1;1;6.76364864979728;0.0531825087964535;0.574680977717699
development;mrmr;xgboost_tree;ensemble.1.1;2;6.76364864979728;0.0485633164644241;0.574680977717699
development;mrmr;xgboost_tree;ensemble.1.1;0;7.55165364771481;0.898254185914993;0.562750696584419
development;mrmr;xgboost_tree;ensemble.1.1;1;7.55165364771481;0.0531825087964535;0.562750696584419
development;mrmr;xgboost_tree;ensemble.1.1;2;7.55165364771481;0.0485633164644241;0.562750696584419
development;mrmr;xgboost_tree;ensemble.1.1;0;8.22084193944133;0.898254185914993;0.538973781130844
development;mrmr;xgboost_tree;ensemble.1.1;1;8.22084193944133;0.0531825087964535;0.538973781130844
development;mrmr;xgboost_tree;ensemble.1.1;2;8.22084193944133;0.0485633164644241;0.538973781130844
development;mrmr;xgboost_tree;ensemble.1.1;0;8.74923194322849;0.898254185914993;0.527887106357342
development;mrmr;xgboost_tree;ensemble.1.1;1;8.74923194322849;0.0531825087964535;0.527887106357342
development;mrmr;xgboost_tree;ensemble.1.1;2;8.74923194322849;0.0485633164644241;0.527887106357342
development;mrmr;xgboost_tree;ensemble.1.1;0;9.19427704442877;0.898254185914993;0.517613471916204
development;mrmr;xgboost_tree;ensemble.1.1;1;9.19427704442877;0.0531825087964535;0.517613471916204
development;mrmr;xgboost_tree;ensemble.1.1;2;9.19427704442877;0.0485633164644241;0.517613471916204
development;mrmr;xgboost_tree;ensemble.1.1;0;9.57300812869921;0.898254185914993;0.513077912445174
development;mrmr;xgboost_tree;ensemble.1.1;1;9.57300812869921;0.0531825087964535;0.513077912445174
development;mrmr;xgboost_tree;ensemble.1.1;2;9.57300812869921;0.0485633164644241;0.513077912445174
development;mrmr;xgboost_tree;ensemble.1.1;0;9.89131843213476;0.898254185914993;0.513160881393237
development;mrmr;xgboost_tree;ensemble.1.1;1;9.89131843213476;0.0531825087964535;0.513160881393237
development;mrmr;xgboost_tree;ensemble.1.1;2;9.89131843213476;0.0485633164644241;0.513160881393237
development;mrmr;xgboost_tree;ensemble.1.1;0;10.1551011908304;0.898254185914993;0.510533480869152
development;mrmr;xgboost_tree;ensemble.1.1;1;10.1551011908304;0.0531825087964535;0.510533480869152
development;mrmr;xgboost_tree;ensemble.1.1;2;10.1551011908304;0.0485633164644241;0.510533480869152
development;mrmr;xgboost_tree;ensemble.1.1;0;10.3702496408809;0.896415233612061;0.510420124921834
development;mrmr;xgboost_tree;ensemble.1.1;1;10.3702496408809;0.0542059987783432;0.510420124921834
development;mrmr;xgboost_tree;ensemble.1.1;2;10.3702496408809;0.0493787843734026;0.510420124921834
development;mrmr;xgboost_tree;ensemble.1.1;0;10.5426570183814;0.896415233612061;0.514624177328538
development;mrmr;xgboost_tree;ensemble.1.1;1;10.5426570183814;0.0542059987783432;0.514624177328538
development;mrmr;xgboost_tree;ensemble.1.1;2;10.5426570183814;0.0493787843734026;0.514624177328538
development;mrmr;xgboost_tree;ensemble.1.1;0;10.6782165594268;0.896415233612061;0.515848514159979
development;mrmr;xgboost_tree;ensemble.1.1;1;10.6782165594268;0.0542059987783432;0.515848514159979
